Title,First Author Surname,First Author Initials,Journal Name,Publication Year,Journal Volume,Is RINTS,Page Count,Citation Count
Title 41,Author 17,G.R.,Journal 9,2004,29,TRUE,172,64
Title 5,Author 45,F.M.,Journal 1,2011,46,TRUE,37,36
Title 91,Author 4,X.D.,Journal 12,2022,22,TRUE,128,95
Title 47,Author 26,U.E.,Journal 9,2016,18,FALSE,45,94
Title 3,Author 11,R.T.,Journal 13,2008,42,FALSE,63,68
Title 47,Author 44,X.H.,Journal 17,2019,24,FALSE,139,78
Title 16,Author 35,W.N.,Journal 8,2010,41,TRUE,74,48
Title 46,Author 5,V.F.,Journal 10,2014,7,FALSE,203,48
Title 29,Author 23,M.J.,Journal 16,2008,17,TRUE,141,8
Title 44,Author 39,N.F.,Journal 17,2010,19,TRUE,139,41
